"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ENTREZID","symbol","genename"
"ENSG00000253998",-5.88067010357477,-3.05084224742404,-5.54411200412436,3.17824445987489e-07,0.00826915643570249,5.55192221252331,"28920","IGKV2-29","immunoglobulin kappa variable 2-29"
"ENSG00000211943",-3.9566647438561,2.26390963079532,-5.11559326153333,1.87131212719425e-06,0.0170556295597598,4.7399436940474,"28448","IGHV3-15","immunoglobulin heavy variable 3-15"
"ENSG00000223350",-4.63479617011933,-1.58098933770802,-5.08095137873908,2.153524100312e-06,0.0170556295597598,4.15970864621802,"28773","IGLV9-49","immunoglobulin lambda variable 9-49"
"ENSG00000211652",-4.28800365737639,-0.491900822943532,-5.03220667946406,2.6221276900238e-06,0.0170556295597598,4.13290568217973,"28776","IGLV7-43","immunoglobulin lambda variable 7-43"
"ENSG00000211941",-3.47386541392673,1.54252906239258,-4.78432004006638,7.03390913214965e-06,0.0222826961483491,3.50462466838597,"28450","IGHV3-11","immunoglobulin heavy variable 3-11"
"ENSG00000211659",-3.78770122734253,2.55456242415609,-4.75077853777672,8.02317373277042e-06,0.0222826961483491,3.44613943148761,"28793","IGLV3-25","immunoglobulin lambda variable 3-25"
"ENSG00000211651",-3.83643062555238,2.91113630642756,-4.73409604418225,8.56433859187834e-06,0.0222826961483491,3.39925905596103,"28823","IGLV1-44","immunoglobulin lambda variable 1-44"
"ENSG00000276775",-4.42292909351319,-0.21160710362597,-4.7547433329806,7.89953489425017e-06,0.0222826961483491,3.28021850984216,"28401","IGHV4-4","immunoglobulin heavy variable 4-4"
"ENSG00000211934",-4.02968223173502,1.53091869773324,-4.67479723454959,1.07904511742043e-05,0.0233954965542041,3.1703410707676,"28474","IGHV1-2","immunoglobulin heavy variable 1-2"
"ENSG00000189306",-0.840286635459581,4.92709854554933,-4.64172796782687,1.22662931589161e-05,0.0245495704160523,3.09168909331874,"27341","RRP7A","ribosomal RNA processing 7 homolog A"
"ENSG00000211973",-4.42153908338181,-0.0987176595537061,-4.70342516349092,9.6533269274249e-06,0.0228327509088855,3.0805158637297,"28461","IGHV1-69","immunoglobulin heavy variable 1-69"
"ENSG00000211964",-3.24096756666825,1.48116927495579,-4.5658652668959,1.64302316853691e-05,0.0284987845326622,2.74523134289983,"28424","IGHV3-48","immunoglobulin heavy variable 3-48"
"ENSG00000242580",-3.6598358877627,-4.23038192881347,-4.88463919066563,4.7321564780379e-06,0.020520207874265,2.72004603912023,"28891","IGKV1D-43","immunoglobulin kappa variable 1D-43"
"ENSG00000211653",-3.77572303086423,3.50678494156374,-4.47705229494753,2.30578144689051e-05,0.0350274160301328,2.51429706352195,"28825","IGLV1-40","immunoglobulin lambda variable 1-40"
"ENSG00000211955",-3.77186156185118,1.96135256578254,-4.4348039113543,2.70569398292254e-05,0.0350274160301328,2.34395587980246,"28434","IGHV3-33","immunoglobulin heavy variable 3-33"
"ENSG00000211945",-3.54659551122782,2.67568291480827,-4.4108959394651,2.96091594561375e-05,0.0350274160301328,2.28241759407075,"28468","IGHV1-18","immunoglobulin heavy variable 1-18"
"ENSG00000241566",-3.52599764136723,-3.18487784793056,-4.59916355732794,1.44566148999515e-05,0.0268665861762099,2.12638555970069,"28885","IGKV2D-24","immunoglobulin kappa variable 2D-24 (non-functional)"
"ENSG00000225523",-4.08184279689209,-2.85414047367582,-4.52445845092715,1.92510072094613e-05,0.0313045440984853,2.09197316459223,"28870","IGKV6D-21","immunoglobulin kappa variable 6D-21 (non-functional)"
"ENSG00000211623",-2.54762614530597,-5.50741984179936,-4.89876427434489,4.47382095792175e-06,0.020520207874265,2.04696064797074,"28884","IGKV2D-26","immunoglobulin kappa variable 2D-26"
"ENSG00000232216",-3.99595335289065,-0.982162394565864,-4.41081594274661,2.96180779715167e-05,0.0350274160301328,2.02509757780651,"28426","IGHV3-43","immunoglobulin heavy variable 3-43"
"ENSG00000211976",-3.71881319963019,-0.936333189483866,-4.35281791808674,3.68160859036323e-05,0.0413367944707427,1.87957959910551,"28409","IGHV3-73","immunoglobulin heavy variable 3-73"
"ENSG00000211599",-3.69207054390719,-2.8220655254802,-4.45497651243944,2.50701931125334e-05,0.0350274160301328,1.81238654210476,"28907","IGKV5-2","immunoglobulin kappa variable 5-2"
"ENSG00000242766",-4.59081631186838,-3.2643439712493,-4.42279423374323,2.83111865318004e-05,0.0350274160301328,1.69334598912262,"28900","IGKV1D-17","immunoglobulin kappa variable 1D-17"
"ENSG00000241294",-3.9404295326149,0.483353757876494,-4.26118689952605,5.17467055288494e-05,0.0489060633674297,1.69064634606529,"28923","IGKV2-24","immunoglobulin kappa variable 2-24"
"ENSG00000244116",-3.34339284080202,-1.41974362868289,-4.34173303333439,3.83721643936267e-05,0.0413367944707427,1.6823502888291,"28921","IGKV2-28","immunoglobulin kappa variable 2-28"
"ENSG00000211648",-3.5199266925637,2.68421194946619,-4.21515451468874,6.13033481056467e-05,0.0514513068068618,1.63119119220968,"28822","IGLV1-47","immunoglobulin lambda variable 1-47"
"ENSG00000280411",-3.67916768521154,0.821541701909574,-4.23787681164769,5.63910331702241e-05,0.0489060633674297,1.62654448075359,"102723169","IGHV1-69D","immunoglobulin heavy variable 1-69D"
"ENSG00000211660",-3.41144215342781,3.09805472229606,-4.16349061562097,7.40535652082972e-05,0.0602101768621712,1.46445927322967,"28813","IGLV2-23","immunoglobulin lambda variable 2-23"
"ENSG00000211650",-3.68101345690382,-1.346602142012,-4.25800608599178,5.23580050812749e-05,0.0489060633674297,1.43222237585904,"28781","IGLV5-45","immunoglobulin lambda variable 5-45"
"ENSG00000240671",-4.0917239444603,-1.72566964818615,-4.25161555380432,5.36072709372794e-05,0.0489060633674297,1.37188096224223,"28942","IGKV1-8","immunoglobulin kappa variable 1-8"
"ENSG00000211638",-3.85167989451977,0.228998828828785,-4.11530087598423,8.82193524975077e-05,0.0675085621552987,1.24453053185291,"28774","IGLV8-61","immunoglobulin lambda variable 8-61"
"ENSG00000240382",-3.15547005875868,1.39506261713344,-4.09580279172882,9.46620245617071e-05,0.0685529591936031,1.20967494276658,"28937","IGKV1-17","immunoglobulin kappa variable 1-17"
"ENSG00000211966",-3.12250603342143,2.47966639138105,-4.04909287441504,0.000111986375119925,0.072841537696755,1.09411452802563,"28388","IGHV5-51","immunoglobulin heavy variable 5-51"
"ENSG00000211654",-4.19086501049521,-3.76569791435244,-4.24336621736545,5.5262445107883e-05,0.0489060633674297,1.03832062535907,"28783","IGLV5-37","immunoglobulin lambda variable 5-37"
"ENSG00000211959",-3.29600813461356,2.50875298762605,-4.03057897762927,0.000119662883171425,0.0759363144964425,1.03583055011309,"28394","IGHV4-39","immunoglobulin heavy variable 4-39"
"ENSG00000251546",-3.20260649516597,-0.250075193942167,-4.07605196846881,0.000101647859587777,0.0714776759663457,1.02273071148737,"28893","IGKV1D-39","immunoglobulin kappa variable 1D-39"
