"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ENTREZID","symbol","genename"
"ENSG00000164327",-1.67121827072998,6.02811828356665,-4.6659413761682,1.11678382999891e-05,0.10567786201731,3.17911994860143,"253260","RICTOR","RPTOR independent companion of MTOR complex 2"
"ENSG00000164190",-1.26204001426444,6.59181669505694,-4.64344283512815,1.21851635810566e-05,0.10567786201731,3.09982573071562,"25836","NIPBL","NIPBL cohesin loading factor"
"ENSG00000113569",-1.55853711100758,5.26053191136375,-4.48021418076021,2.27827051908805e-05,0.132382190374782,2.52890914671026,"9631","NUP155","nucleoporin 155"
"ENSG00000152620",-1.91418201134609,5.14580313203856,-4.40690434057002,3.00573496938163e-05,0.132382190374782,2.2773290891864,"133686","NADK2","NAD kinase 2, mitochondrial"
"ENSG00000113456",-1.34866186471388,4.714383389334,-4.40276894882715,3.05286010549886e-05,0.132382190374782,2.26261425982693,"5810","RAD1","RAD1 checkpoint DNA exonuclease"
"ENSG00000082213",-1.49061930500048,4.56913887972428,-4.26538871688541,5.09497265941919e-05,0.149541205972369,1.80017650791343,"55322","C5orf22","chromosome 5 open reading frame 22"
"ENSG00000143190",-0.845654408561348,4.93851038806894,-4.23563074847386,5.68591846309642e-05,0.149541205972369,1.70031177117891,"5451","POU2F1","POU class 2 homeobox 1"
"ENSG00000172262",-1.27925502557834,5.22107757156012,-4.23031661158155,5.79817806096928e-05,0.149541205972369,1.6813400485487,"7690","ZNF131","zinc finger protein 131"
"ENSG00000197124",-1.39701284601244,3.09082821462821,-4.20558543185216,6.34931899215075e-05,0.149541205972369,1.55643097199274,"91120","ZNF682","zinc finger protein 682"
"ENSG00000187951",-1.66780998042026,2.5337998137774,-4.11799763750626,8.73621520306889e-05,0.151532564768964,1.2583975934657,"100288637","LOC100288637","OTU deubiquitinase 7A pseudogene"
"ENSG00000156787",-1.35430781593982,3.02993756110859,-4.08477104558364,9.85049687159188e-05,0.151752381534712,1.1822721626893,"93594","TBC1D31","TBC1 domain family member 31"
"ENSG00000211893",5.14158445189977,6.35079799805792,4.06706853089337,0.000104986657991576,0.151752381534712,1.15182322989328,"3501","IGHG2","immunoglobulin heavy constant gamma 2 (G2m marker)"
"ENSG00000205838",-2.05396114930597,-0.382724507568077,-4.18297327444575,6.89712688011541e-05,0.149541205972369,1.14623986076487,"153657","TTC23L","tetratricopeptide repeat domain 23 like"
"ENSG00000160229",-1.73612845967293,0.766784756531833,-4.13127439841984,8.32573811319898e-05,0.151532564768964,1.08783487530724,"7617","ZNF66","zinc finger protein 66"
"ENSG00000100234",2.73397330685787,9.40477120003333,4.04912025728245,0.00011197537922053,0.153335548239986,1.08667763883761,"7078","TIMP3","TIMP metallopeptidase inhibitor 3"
"ENSG00000164989",-1.19736894183955,1.61031162897483,-4.06868039675064,0.000104379938412914,0.151752381534712,1.01304659328054,"203238","CCDC171","coiled-coil domain containing 171"
"ENSG00000203666",-0.94948989366579,3.42490483366586,-4.01912186130912,0.000124663586413522,0.157441938058702,0.988486499366123,"84288","DRC8","dynein regulatory complex subunit 8"
"ENSG00000175066",-1.12055675632593,5.55096134879961,-3.99927504956803,0.000133803976192987,0.157441938058702,0.92238905226933,"256356","GK5","glycerol kinase 5"
"ENSG00000075340",3.27626710957869,4.15236049670297,4.00804054684908,0.000129690511701477,0.157441938058702,0.899807157144356,"119","ADD2","adducin 2"
"ENSG00000183087",2.39898807001964,7.96425773851524,3.95918726977238,0.000154263551557168,0.157441938058702,0.790092255027965,"2621","GAS6","growth arrest specific 6"
"ENSG00000175782",-0.62393396385254,4.15681558105305,-3.94244539543777,0.000163666942651361,0.157441938058702,0.757747188565368,"55508","SLC35E3","solute carrier family 35 member E3"
"ENSG00000134072",0.916252821703076,4.20498956592049,3.9346649033418,0.000168221465030755,0.157441938058702,0.733480192259061,"8536","CAMK1","calcium/calmodulin dependent protein kinase I"
"ENSG00000151376",1.72018082188133,4.90435139802226,3.92026787945707,0.000176970921228735,0.157441938058702,0.687618494480993,"10873","ME3","malic enzyme 3"
"ENSG00000112972",-1.59555934363386,6.07370481963387,-3.89060647473677,0.000196388970216723,0.157441938058702,0.572408793401919,"3157","HMGCS1","3-hydroxy-3-methylglutaryl-CoA synthase 1"
"ENSG00000154124",-1.05339010826466,5.252265315671,-3.87909257487176,0.000204462212556496,0.157441938058702,0.5412280408818,"90268","OTULIN","OTU deubiquitinase with linear linkage specificity"
"ENSG00000138346",-1.54199658834661,3.09276954386913,-3.86969859836864,0.000211283006396307,0.157441938058702,0.514772259258844,"1763","DNA2","DNA replication helicase/nuclease 2"
"ENSG00000120334",-1.29748778581848,2.74212999105026,-3.87219824708359,0.000209447126488377,0.157441938058702,0.511797960371963,"91687","CENPL","centromere protein L"
"ENSG00000204520",1.31139450291549,4.73580371245335,3.86155342513197,0.000217372537758857,0.157441938058702,0.50645162319567,"100507436","MICA","MHC class I polypeptide-related sequence A"
"ENSG00000168724",-1.32294500546072,5.5017864842367,-3.85443472977664,0.00022283161120248,0.157441938058702,0.461941253382136,"134218","DNAJC21","DnaJ heat shock protein family (Hsp40) member C21"
"ENSG00000172167",-1.52156927986766,2.98139483800808,-3.82813898461559,0.000244153918392131,0.157441938058702,0.395810493050246,"27085","MTBP","MDM2 binding protein"
"ENSG00000180182",-0.844246460176199,6.25192806617977,-3.83162498794227,0.000241219214864678,0.157441938058702,0.385150994382394,"9282","MED14","mediator complex subunit 14"
"ENSG00000251136",-0.861143181634795,3.56490679803559,-3.80803892876445,0.000261751156354595,0.157441938058702,0.343895809841368,"101929709","PARAIL","palmitic acid regulated anti-inflammatory lncRNA"
"ENSG00000038382",-1.29216752622105,7.46474057137999,-3.79310336897947,0.000275603593475431,0.157441938058702,0.269474312007278,"7204","TRIO","trio Rho guanine nucleotide exchange factor"
"ENSG00000172244",-1.51124739161908,2.16395262736251,-3.7930867563927,0.000275619383541043,0.157441938058702,0.256888755261846,"375444","C5orf34","chromosome 5 open reading frame 34"
"ENSG00000134202",1.52166269786548,4.65641562884696,3.76435102680148,0.000304262578487314,0.157441938058702,0.210402695763729,"2947","GSTM3","glutathione S-transferase mu 3"
"ENSG00000182899",0.832299579167029,8.54221172586636,3.76068485399235,0.000308114698686209,0.157441938058702,0.169928424971455,"6165","RPL35A","ribosomal protein L35a"
"ENSG00000198598",3.21588451749924,2.14520376228169,3.79483684185966,0.000273960680250218,0.157441938058702,0.134075208069497,"4326","MMP17","matrix metallopeptidase 17"
"ENSG00000226002",-1.6469119419418,-0.329774298310051,-3.82713678091939,0.000245003913271982,0.157441938058702,0.127203914531852,"106481735","GTF2IP14","general transcription factor IIi pseudogene 14"
"ENSG00000064313",-0.993503265910408,5.44136010860229,-3.74467941780469,0.000325482689080083,0.157441938058702,0.123266546730031,"6873","TAF2","TATA-box binding protein associated factor 2"
"ENSG00000089022",-0.533045688227658,5.36573199632579,-3.73782968771957,0.000333196934871697,0.157620324572578,0.101347272245471,"8550","MAPKAPK5","MAPK activated protein kinase 5"
"ENSG00000080823",1.59331855700441,4.55884211984154,3.71631820293066,0.000358570902531494,0.161637391076671,0.0666748393916921,"5891","MOK","MOK protein kinase"
"ENSG00000224650",5.38989655031344,1.58788162024831,3.75845016715254,0.000310485470130687,0.157441938058702,0.0631529295941204,"28408","IGHV3-74","immunoglobulin heavy variable 3-74"
"ENSG00000113494",-2.8279269812237,0.700716554871913,-3.74767279711466,0.000322165175373851,0.157441938058702,0.0597400194210111,"5618","PRLR","prolactin receptor"
"ENSG00000251546",5.30535498465709,-0.250075193942167,3.8247319146624,0.000247055075990309,0.157441938058702,0.0597262665527492,"28893","IGKV1D-39","immunoglobulin kappa variable 1D-39"
"ENSG00000122966",-1.42084540377783,3.94863138741133,-3.71144345635566,0.000364571175494004,0.161637391076671,0.0507069347103926,"11113","CIT","citron rho-interacting serine/threonine kinase"
"ENSG00000060709",4.27716850932138,2.1875752322161,3.78220869209877,0.000286146145653768,0.157441938058702,0.0476861150676653,"23504","RIMBP2","RIMS binding protein 2"
"ENSG00000180979",-0.716410184607911,4.35754432582034,-3.70986153722123,0.000366538783669906,0.161637391076671,0.0420797724213298,"255252","LRRC57","leucine rich repeat containing 57"
"ENSG00000173545",-1.03262143201227,4.51902940544707,-3.71216738215817,0.000363674103464857,0.161637391076671,0.0387316853305002,"90441","ZNF622","zinc finger protein 622"
"ENSG00000256229",-1.50660093127982,3.24897697863129,-3.70427408557413,0.000373569670150619,0.161992261299647,0.0266544421020489,"90649","ZNF486","zinc finger protein 486"
"ENSG00000256087",-1.87268078456501,4.80541723679816,-3.68541930113705,0.000398253959690453,0.169865106938135,-0.0429299887621433,"9668","ZNF432","zinc finger protein 432"
"ENSG00000141101",0.780868389623247,5.24046646007008,3.6725978929153,0.000415916751270499,0.174537452170255,-0.0846701919695381,"28987","NOB1","NIN1 (RPN12) binding protein 1 homolog"
"ENSG00000276775",8.25218275782427,-0.21160710362597,3.83916610673563,0.000234985469910408,0.157441938058702,-0.145258289343885,"28401","IGHV4-4","immunoglobulin heavy variable 4-4"
"ENSG00000164187",-1.47106286623273,4.42882620961035,-3.63618161216518,0.000470232570132874,0.179129055169279,-0.176320060107044,"92255","LMBRD2","LMBR1 domain containing 2"
"ENSG00000113384",-1.07017544219576,6.54712503125809,-3.64646803995914,0.000454243607202098,0.179129055169279,-0.185376289678506,"64083","GOLPH3","golgi phosphoprotein 3"
"ENSG00000113360",-1.11720428817327,6.07234795071262,-3.64217181681655,0.000460857753096383,0.179129055169279,-0.196876091744241,"29102","DROSHA","drosha ribonuclease III"
"ENSG00000173875",-0.695345147463761,5.40399054780424,-3.6391455568562,0.000465571526749766,0.179129055169279,-0.197022489361123,"163049","ZNF791","zinc finger protein 791"
"ENSG00000132964",-0.882160179509149,3.83548446695498,-3.61444178103465,0.000505798941260184,0.179129055169279,-0.233617171197813,"1024","CDK8","cyclin dependent kinase 8"
"ENSG00000117153",-0.666113517870219,5.21118473927308,-3.61918133090412,0.000497834052609928,0.179129055169279,-0.255912128095239,"59349","KLHL12","kelch like family member 12"
"ENSG00000172239",-0.936873878985217,6.14104823902911,-3.61998977413655,0.000496487384780811,0.179129055169279,-0.264584213253322,"10605","PAIP1","poly(A) binding protein interacting protein 1"
"ENSG00000213988",-1.74501762646236,2.05715575091607,-3.61534819980439,0.000504266403186603,0.179129055169279,-0.265736301828136,"7643","ZNF90","zinc finger protein 90"
"ENSG00000140993",-1.48645216435022,3.56627279871413,-3.60068132961889,0.000529614042281589,0.179129055169279,-0.270991557578593,"91151","TIGD7","tigger transposable element derived 7"
"ENSG00000276757",-1.8639178348597,-2.39315866724739,-3.75337243234152,0.000315937182459746,0.157441938058702,-0.271302786131987,"106480974","RN7SL192P","RNA, 7SL, cytoplasmic 192, pseudogene"
"ENSG00000123607",-0.776907376402119,4.5301062490588,-3.60013451470057,0.000530582032267919,0.179129055169279,-0.291770639382293,"79809","TTC21B","tetratricopeptide repeat domain 21B"
"ENSG00000184903",1.10826884814393,2.8735909586164,3.60507470151914,0.00052189728843658,0.179129055169279,-0.29779890337204,"83943","IMMP2L","inner mitochondrial membrane peptidase subunit 2"
"ENSG00000167981",-1.41350413651935,3.04727472584497,-3.58352766186803,0.000560791740507047,0.179129055169279,-0.326102991030472,"146434","ZNF597","zinc finger protein 597"
"ENSG00000253967",-4.8765439086399,-3.44848660481745,-3.81697185763572,0.000253786131327923,0.157441938058702,-0.329788976371584,"101926892","LINC03020","long intergenic non-protein coding RNA 3020"
"ENSG00000223350",6.72480805077905,-1.58098933770802,3.74352697876463,0.000326768570034972,0.157441938058702,-0.343495115021797,"28773","IGLV9-49","immunoglobulin lambda variable 9-49"
"ENSG00000112996",-0.996033350832565,4.75030657990005,-3.58421404204242,0.000559511493055592,0.179129055169279,-0.345050292799861,"10884","MRPS30","mitochondrial ribosomal protein S30"
"ENSG00000205765",-1.09827719000549,5.35631558633204,-3.58260950919822,0.000562508634064122,0.179129055169279,-0.36339826246384,"285636","RIMOC1","RAB7A interacting MON1-CCZ1 complex subunit 1"
"ENSG00000203875",1.6886306007162,6.32483325329194,3.581185798377,0.000565180744900756,0.179129055169279,-0.378845993849726,"387066","SNHG5","small nucleolar RNA host gene 5"
"ENSG00000184635",-1.47245185451986,3.16939746334277,-3.5602188244567,0.000605952376280919,0.18048678885361,-0.387223385395467,"81931","ZNF93","zinc finger protein 93"
"ENSG00000090612",-0.85598082658065,4.3729009104595,-3.56148126383835,0.000603420694598472,0.18048678885361,-0.401271980183395,"10795","ZNF268","zinc finger protein 268"
"ENSG00000151876",-1.05066480651675,3.58831315869834,-3.55457557716311,0.000617392736104669,0.18048678885361,-0.404931558841448,"26272","FBXO4","F-box protein 4"
"ENSG00000082068",-0.870059616588495,5.23456655535421,-3.56856665768371,0.000589396557457794,0.180410819199257,-0.408215234630102,"55100","WDR70","WD repeat domain 70"
"ENSG00000165502",0.824637070549977,6.53461107973095,3.55617537945874,0.000614128913578901,0.18048678885361,-0.45865678818982,"6166","RPL36AL","ribosomal protein L36a like"
"ENSG00000242371",4.8664304103719,-0.368745856087867,3.61921664982076,0.000497775147661922,0.179129055169279,-0.469093376771752,"28930","IGKV1-39","immunoglobulin kappa variable 1-39"
"ENSG00000028310",-0.83640022097596,5.73937276407847,-3.5510076064167,0.000624731144917547,0.180602832538497,-0.469377741890714,"65980","BRD9","bromodomain containing 9"
"ENSG00000211652",5.40547333226007,-0.491900822943532,3.59756135727836,0.000535159680979717,0.179129055169279,-0.469604084918479,"28776","IGLV7-43","immunoglobulin lambda variable 7-43"
"ENSG00000258498",3.9327050362348,2.66635689277329,3.53564237320161,0.00065728720970186,0.186645458855555,-0.535942082551085,"64150","DIO3OS","DIO3 opposite strand upstream RNA"
"ENSG00000129292",-0.989432606651264,6.00489190231903,-3.52186365655045,0.000687840815561157,0.190385556800747,-0.555172196930086,"51105","PHF20L1","PHD finger protein 20 like 1"
"ENSG00000175416",1.47444528124666,5.91659174549688,3.51682497118688,0.000699345526996058,0.190533385916458,-0.556964439133653,"1212","CLTB","clathrin light chain B"
"ENSG00000272695",2.09790662139453,1.75168370843134,3.53440352475591,0.00065998086765743,0.186645458855555,-0.564014461433846,"100506394","GAS6-DT","GAS6 divergent transcript"
"ENSG00000162086",-1.0105757062544,4.67662821497374,-3.49750991233211,0.000745154528395043,0.198193048262543,-0.594646274382463,"7627","ZNF75A","zinc finger protein 75A"
"ENSG00000091656",-2.14994711935037,5.17035998818601,-3.4969521713119,0.000746518515248258,0.198193048262543,-0.603891671095041,"79776","ZFHX4","zinc finger homeobox 4"
"ENSG00000244694",2.88460955832876,1.38961749796694,3.52975723232541,0.000670176730685123,0.18749094816092,-0.627464799737252,"442213","PTCHD4","patched domain containing 4"
"ENSG00000103335",0.934785618504793,7.34267180609482,3.48018621456252,0.000788639110766567,0.201732680920977,-0.681002768348637,"9780","PIEZO1","piezo type mechanosensitive ion channel component 1 (Er blood group)"
"ENSG00000004948",-2.40454970483218,-2.11685924115951,-3.57787594126968,0.000571439448806602,0.179129055169279,-0.696070811940226,"799","CALCR","calcitonin receptor"
"ENSG00000198521",-1.19320020607618,4.78197236829711,-3.46180709449608,0.000837386791431529,0.201732680920977,-0.700655662204523,"7594","ZNF43","zinc finger protein 43"
"ENSG00000153317",-1.08165465980137,6.86512903352487,-3.46586856919562,0.000826375665192929,0.201732680920977,-0.721088925602489,"50807","ASAP1","ArfGAP with SH3 domain, ankyrin repeat and PH domain 1"
"ENSG00000017483",2.61647500687496,3.29917554571787,3.44193226679807,0.000893295190594399,0.206755011382397,-0.726569749824009,"92745","SLC38A5","solute carrier family 38 member 5"
"ENSG00000251141",-1.31893945257034,0.880011704014886,-3.46444658806886,0.000830215180314587,0.201732680920977,-0.727898313630151,"100506674","MRPS30-DT","MRPS30 divergent transcript"
"ENSG00000171763",-0.729790768973904,2.99389888058814,-3.43760904596036,0.000905914032500315,0.206755011382397,-0.733999757280907,"79029","AFG2B","AAA ATPase AFG2B"
"ENSG00000175216",-0.875992122844575,6.65805214156718,-3.45004281392551,0.000870067642514167,0.203940720026429,-0.768559482138955,"9793","CKAP5","cytoskeleton associated protein 5"
"ENSG00000160282",-3.90959020925018,0.596935270013964,-3.45160272988021,0.000865666074350715,0.203940720026429,-0.778150335729893,"10841","FTCD","formimidoyltransferase cyclodeaminase"
"ENSG00000229739",-1.23216512407002,-0.867787463763993,-3.47141834995532,0.000811550364673381,0.201732680920977,-0.813624624310829,"102724919","PDC-AS1","PDC antisense RNA 1"
"ENSG00000136982",-1.26141774458489,2.4308210002848,-3.39883530447257,0.00102684703787253,0.208306520931603,-0.842433808820191,"79075","DSCC1","DNA replication and sister chromatid cohesion 1"
"ENSG00000263513",-1.98214155638296,-1.14851767817751,-3.47251705845916,0.00080864528032253,0.201732680920977,-0.85529348634354,"554282","FAM72C","family with sequence similarity 72 member C"
"ENSG00000099958",2.41782700094521,3.5499864974242,3.3919656529269,0.00104979891579504,0.208306520931603,-0.857310979628218,"91319","DERL3","derlin 3"
"ENSG00000100711",0.962581697645743,5.33306335346316,3.4088837671768,0.000994124157467067,0.207199954546246,-0.860856820218715,"79038","ZFYVE21","zinc finger FYVE-type containing 21"
"ENSG00000176853",-1.13375458514054,6.12208811554959,-3.41255974878065,0.00098240060685846,0.207199954546246,-0.873540523104001,"157769","FAM91A1","family with sequence similarity 91 member A1"
"ENSG00000149571",3.77108515168406,1.45122668275529,3.43482155904035,0.0009141392140991,0.206818035412438,-0.88048076653588,"84623","KIRREL3","kirre like nephrin family adhesion molecule 3"
"ENSG00000280213",-1.83740843793233,-1.86400672631417,-3.4640354990617,0.000831328301972382,0.201732680920977,-0.881402670874254,"100113386","UCKL1-AS1","UCKL1 antisense RNA 1"
"ENSG00000132549",-0.831429735466624,6.00893181600538,-3.40846611240177,0.000995464459923161,0.207199954546246,-0.886803739067718,"157680","VPS13B","vacuolar protein sorting 13 homolog B"
"ENSG00000039560",-1.712179727981,6.76758732413031,-3.39865886437032,0.00102743057550057,0.208306520931603,-0.912313956358411,"26064","RAI14","retinoic acid induced 14"
"ENSG00000120868",-0.790883419465697,5.12937991090052,-3.38989108893742,0.00105682453543592,0.208306520931603,-0.9195751508001,"317","APAF1","apoptotic peptidase activating factor 1"
"ENSG00000056097",-0.89141491443563,6.66001172718812,-3.39641504817606,0.00103487879950907,0.208306520931603,-0.923361691511012,"51663","ZFR","zinc finger RNA binding protein"
"ENSG00000180530",-1.31972392960124,5.7432484525117,-3.39296982503954,0.00104641404707011,0.208306520931603,-0.925739429360993,"8204","NRIP1","nuclear receptor interacting protein 1"
"ENSG00000140265",-0.68175138926378,4.77837732116088,-3.37462924374371,0.00110988629755675,0.211384703079928,-0.949376759770999,"146050","ZSCAN29","zinc finger and SCAN domain containing 29"
"ENSG00000198755",0.818411133501776,9.03665358365891,3.37386309870321,0.00111261498118283,0.211384703079928,-0.972282426152923,"4736","RPL10A","ribosomal protein L10a"
"ENSG00000149294",3.1162994402452,2.91833842323648,3.36330596674314,0.00115086340269229,0.211384703079928,-0.973964030942167,"4684","NCAM1","neural cell adhesion molecule 1"
"ENSG00000198242",0.69266983353325,8.72398726238002,3.37329952557557,0.00111462621667722,0.211384703079928,-0.977909594328257,"6147","RPL23A","ribosomal protein L23a"
"ENSG00000244116",4.28310418212272,-1.41974362868289,3.42320913542178,0.000949168168012333,0.207199954546246,-0.982288880089649,"28921","IGKV2-28","immunoglobulin kappa variable 2-28"
"ENSG00000145604",-1.82458297127874,5.43902098425149,-3.36770722777147,0.00113476975963885,0.211384703079928,-0.983848144383173,"6502","SKP2","S-phase kinase associated protein 2"
"ENSG00000180855",-0.974040232740976,2.05892326573882,-3.34955999549263,0.00120251970191813,0.21577350072073,-0.990570628210141,"10224","ZNF443","zinc finger protein 443"
"ENSG00000166510",-2.01859722508985,1.79555064953152,-3.34451235388528,0.00122202949996435,0.217772352945702,-1.00425517726582,"80323","CCDC68","coiled-coil domain containing 68"
"ENSG00000212296",-2.34153225935473,-2.98009155913926,-3.48935343332862,0.000765338230938327,0.201137071641953,-1.02545375365921,"619564","SNORD72","small nucleolar RNA, C/D box 72"
"ENSG00000211638",5.87700818861604,0.228998828828785,3.36268930337854,0.00115313536054809,0.211384703079928,-1.03553812917255,"28774","IGLV8-61","immunoglobulin lambda variable 8-61"
"ENSG00000152926",-1.34309334908816,6.61722717192696,-3.35414839235624,0.00118503929546255,0.214113558259337,-1.04086737292968,"51351","ZNF117","zinc finger protein 117"
"ENSG00000145248",-2.71926612968031,-2.50211334056787,-3.41720004783586,0.000967787555245669,0.207199954546246,-1.04985283285067,"201780","SLC10A4","solute carrier family 10 member 4"
"ENSG00000013583",0.824825685543698,5.27947774124187,3.33849498280429,0.00124567602864987,0.218986479144678,-1.05855428527875,"50865","HEBP1","heme binding protein 1"
"ENSG00000253998",7.11581992026242,-3.05084224742404,3.46794369489829,0.000820802646066437,0.201732680920977,-1.06452579423406,"28920","IGKV2-29","immunoglobulin kappa variable 2-29"
"ENSG00000169914",-0.853049595671652,4.51168435192463,-3.33127989256136,0.00127459592549165,0.219082378474028,-1.06649158164074,"23252","OTUD3","OTU deubiquitinase 3"
"ENSG00000156802",-1.43967482553483,5.2621365331615,-3.33359168026937,0.00126526174039515,0.219082378474028,-1.08373103013427,"29028","ATAD2","ATPase family AAA domain containing 2"
"ENSG00000105373",1.25910197539062,7.14996014716753,3.33969255510241,0.00124093592076947,0.218986479144678,-1.08646027701769,"29997","NOP53","NOP53 ribosome biogenesis factor"
"ENSG00000235961",2.6397332076585,0.616740936346979,3.36253975320567,0.00115368697968137,0.211384703079928,-1.09477001259603,"84968","PNMA6A","PNMA family member 6A"
"ENSG00000214029",-1.30640706542139,3.33095947463793,-3.30467838607657,0.00138676053398639,0.22325629487697,-1.09573989917992,"101060200","ZNF891","zinc finger protein 891"
"ENSG00000137770",-1.00038801954606,5.31160400458271,-3.32783063188702,0.00128864313160708,0.219136712406229,-1.10005872764279,"51496","CTDSPL2","CTD small phosphatase like 2"
"ENSG00000178295",-1.13940798040889,4.4229202478872,-3.30913543305851,0.00136734326463933,0.223051702805354,-1.12380384175139,"348654","GEN1","GEN1 structure-specific endonuclease"
"ENSG00000165156",-1.11835312742987,5.15829106906777,-3.3151432205125,0.0013415736411019,0.223051702805354,-1.12683879015251,"11244","ZHX1","zinc fingers and homeoboxes 1"
"ENSG00000171649",-1.97621352516999,2.7930451069692,-3.28125230152126,0.00149314102308967,0.22718446279969,-1.15509740064212,"284307","ZIK1","zinc finger protein interacting with K protein 1"
"ENSG00000072778",0.925197176653438,8.31568152822578,3.30861008627803,0.00136961861961639,0.223051702805354,-1.16676359734841,"37","ACADVL","acyl-CoA dehydrogenase very long chain"
"ENSG00000197565",3.89047260954156,2.80668556568747,3.29457989254419,0.0014317161673867,0.22410182434083,-1.169005497066,"1288","COL4A6","collagen type IV alpha 6 chain"
"ENSG00000089094",-0.58746331096483,5.28510571507333,-3.30391864276881,0.00139009607848679,0.22325629487697,-1.17525165091829,"84678","KDM2B","lysine demethylase 2B"
"ENSG00000186019",-2.40512953550272,0.856888801029263,-3.28287976655446,0.00148551001592543,0.22718446279969,-1.1980812849902,"100379224","ZNF225-AS1","ZNF225 and ZNF224 antisense RNA 1"
"ENSG00000166845",-1.39535910685291,2.72118303423112,-3.2637830222599,0.00157739937979891,0.229870082906794,-1.20088350559847,"162681","C18orf54","chromosome 18 open reading frame 54"
"ENSG00000186908",-0.830354624432797,5.8840270803612,-3.2963658831651,0.00142366722573749,0.22410182434083,-1.2018004695062,"23390","ZDHHC17","zDHHC palmitoyltransferase 17"
"ENSG00000258405",-2.68781856111251,0.540915189542336,-3.2718180437249,0.00153810602379076,0.229870082906794,-1.2177696917124,"147660","ZNF578","zinc finger protein 578"
"ENSG00000283041",1.06009054622699,3.26251479236749,3.25369302999444,0.00162807413502685,0.229870082906794,-1.22763741816697,"729998","LOC729998","eukaryotic translation elongation factor 1 gamma pseudogene"
"ENSG00000151881",-1.07164681471676,3.39269727689894,-3.24948409336281,0.0016496598260345,0.229870082906794,-1.24377185563385,"64417","TMEM267","transmembrane protein 267"
"ENSG00000167476",2.47582667207844,-0.766041071988371,3.29425901559135,0.00143316678173117,0.22410182434083,-1.25390118454122,"126306","JSRP1","junctional sarcoplasmic reticulum protein 1"
"ENSG00000197020",-1.10463310037542,3.81979968165831,-3.24958478002392,0.00164914033745182,0.229870082906794,-1.25697415423586,"163227","ZNF100","zinc finger protein 100"
"ENSG00000244219",1.6640274179963,-1.09197150770006,3.31856760227583,0.00132708988272112,0.223051702805354,-1.26377388862934,"100289187","TMEM225B","transmembrane protein 225B"
"ENSG00000188321",-0.840621749744409,4.13385134540574,-3.25217179089548,0.00163584516641107,0.229870082906794,-1.26860327250015,"84527","ZNF559","zinc finger protein 559"
"ENSG00000156970",-2.01696928249753,3.2222811501583,-3.23808871080231,0.00170945367983754,0.229870082906794,-1.27366114207305,"701","BUB1B","BUB1 mitotic checkpoint serine/threonine kinase B"
"ENSG00000243264",5.58871075551102,-0.998307049091114,3.29653203567226,0.00142292058632604,0.22410182434083,-1.27531473914299,"28882","IGKV2D-29","immunoglobulin kappa variable 2D-29"
"ENSG00000153789",3.46438001644354,-2.45210128310717,3.36376611631956,0.00114917082778997,0.211384703079928,-1.28892214674619,"339145","CIBAR2","CBY1 interacting BAR domain containing 2"
"ENSG00000125885",-1.18100038058397,4.41196437112528,-3.24871432326856,0.00165363648792615,0.229870082906794,-1.29033054566607,"84515","MCM8","minichromosome maintenance 8 homologous recombination repair factor"
"ENSG00000102081",-1.10200466368278,6.2173810366683,-3.26477229558371,0.00157251131133474,0.229870082906794,-1.29187993910104,"2332","FMR1","fragile X messenger ribonucleoprotein 1"
"ENSG00000213020",-0.849384331002372,3.80736919553018,-3.23487530527268,0.00172667810312849,0.229870082906794,-1.29393222535477,"81856","ZNF611","zinc finger protein 611"
"ENSG00000119681",2.27153871644688,8.03388133271451,3.26332725211974,0.00157965615757628,0.229870082906794,-1.29537996716467,"4053","LTBP2","latent transforming growth factor beta binding protein 2"
"ENSG00000080839",-1.23461864991332,3.58363565576025,-3.23104654902571,0.00174741288684453,0.229870082906794,-1.30435700255228,"5933","RBL1","RB transcriptional corepressor like 1"
"ENSG00000135063",2.19088042593754,2.03104065603325,3.23383555863399,0.00173228600870644,0.229870082906794,-1.30493062550111,"9413","ENTREP1","endosomal transmembrane epsin interactor 1"
"ENSG00000225523",5.36657252489982,-2.85414047367582,3.35915703373083,0.00116623069238389,0.21218874233877,-1.31549297605034,"28870","IGKV6D-21","immunoglobulin kappa variable 6D-21 (non-functional)"
"ENSG00000127472",2.86022452769837,1.53821295925621,3.23630331995802,0.00171900374136485,0.229870082906794,-1.32248487795677,"5322","PLA2G5","phospholipase A2 group V"
"ENSG00000166793",1.69146319125073,1.70960292248747,3.22907636283972,0.00175817305321131,0.229870082906794,-1.32632277784898,"219539","YPEL4","yippee like 4"
"ENSG00000154099",2.22582346248252,0.349048024559366,3.23607628474239,0.00172022172474918,0.229870082906794,-1.35081345409579,"123872","DNAAF1","dynein axonemal assembly factor 1"
"ENSG00000242534",4.21628105043351,-1.54752017557547,3.26483796950478,0.00157218731466589,0.229870082906794,-1.35198907438575,"28883","IGKV2D-28","immunoglobulin kappa variable 2D-28"
"ENSG00000222365",-1.64779853085706,-0.0841726937875659,-3.2398144571527,0.00170026986157701,0.229870082906794,-1.35767379957554,"100113393","SNORD12B","small nucleolar RNA, C/D box 12B"
"ENSG00000119688",0.919709313287384,5.99339799256876,3.23954296566265,0.00170171157739241,0.229870082906794,-1.36000161204239,"5826","ABCD4","ATP binding cassette subfamily D member 4"
